date,ID,Species,weight difference,run,lanai side,treatment,temperature,Initial weight,final weight, lunar phase,plant ID,RLC order
9/28/21,Hm1-1,Hm,0.0466,1,ewa,1,30 C,0.2879,0.3345,IV,1,6
9/28/21,Hm1-2,Hm,0.1107,1,ewa,2,30 C,0.2773,0.388,IV,1,6
9/28/21,Hm1-3,Hm,0.0968,1,ewa,3,30 C,0.2848,0.3816,IV,1,6
9/28/21,Hm1-4,Hm,0.08,1,ewa,4,30 C,0.2477,0.3277,IV,1,6
9/28/21,Ul1-1,Ul,-0.0287,1,ewa,1,30 C,0.2705,0.2418,IV,1,6
9/28/21,Ul1-2,Ul,-0.0745,1,ewa,2,30 C,0.2595,0.185,IV,1,6
9/28/21,Ul1-3,Ul,-0.139,1,ewa,3,30 C,0.2673,0.1283,IV,1,6
9/28/21,Ul1-4,Ul,-0.0679,1,ewa,4,30 C,0.2861,0.2182,IV,1,6
9/28/21,Hm2-1,Hm,0.1043,1,ewa,1,30 C,0.2849,0.3892,IV,2,5
9/28/21,Hm2-2,Hm,0.0766,1,ewa,2,30 C,0.307,0.3836,IV,2,5
9/28/21,Hm2-3,Hm,0.059,1,ewa,3,30 C,0.2631,0.3221,IV,2,5
9/28/21,Hm2-4,Hm,0.0739,1,ewa,4,30 C,0.2789,0.3528,IV,2,5
9/28/21,Ul2-1,Ul,0.0015,1,ewa,1,30 C,0.2386,0.2401,IV,2,5
9/28/21,Ul2-2,Ul,0.1243,1,ewa,2,30 C,0.3114,0.4357,IV,2,5
9/28/21,Ul2-3,Ul,0.1323,1,ewa,3,30 C,0.2765,0.4088,IV,2,5
9/28/21,Ul2-4,Ul,0.1933,1,ewa,4,30 C,0.2922,0.4855,IV,2,5
9/28/21,Hm3-1,Hm,0.1546,1,ewa,1,27 C,0.2632,0.4178,IV,3,2
9/28/21,Hm3-2,Hm,0.1037,1,ewa,2,27 C,0.2919,0.3956,IV,3,2
9/28/21,Hm3-3,Hm,0.0727,1,ewa,3,27 C,0.2578,0.3305,IV,3,2
9/28/21,Hm3-4,Hm,0.0779,1,ewa,4,27 C,0.2653,0.3432,IV,3,2
9/28/21,Ul3-1,Ul,0.0527,1,ewa,1,27 C,0.2965,0.3492,IV,3,2
9/28/21,Ul3-2,Ul,0.0959,1,ewa,2,27 C,0.2662,0.3621,IV,3,2
9/28/21,Ul3-3,Ul,0.1332,1,ewa,3,27 C,0.2899,0.4231,IV,3,2
9/28/21,Ul3-4,Ul,0.1632,1,ewa,4,27 C,0.2969,0.4601,IV,3,2
9/28/21,Hm4-1,Hm,0.1069,1,ewa,1,27 C,0.2712,0.3781,IV,4,1
9/28/21,Hm4-2,Hm,0.0534,1,ewa,2,27 C,0.2707,0.3241,IV,4,1
9/28/21,Hm4-3,Hm,0.1008,1,ewa,3,27 C,0.2859,0.3867,IV,4,1
9/28/21,Hm4-4,Hm,0.0695,1,ewa,4,27 C,0.2809,0.3504,IV,4,1
9/28/21,Ul4-1,Ul,0.1463,1,ewa,1,27 C,0.2304,0.3767,IV,4,1
9/28/21,Ul4-2,Ul,0.2088,1,ewa,2,27 C,0.3039,0.5127,IV,4,1
9/28/21,Ul4-3,Ul,0.2226,1,ewa,3,27 C,0.2822,0.5048,IV,4,1
9/28/21,Ul4-4,Ul,0.2568,1,ewa,4,27 C,0.2623,0.5191,IV,4,1
9/28/21,Hm5-1,Hm,0.079,1,ewa,1,20 C,0.2603,0.3393,IV,5,4
9/28/21,Hm5-2,Hm,0.0676,1,ewa,2,20 C,0.2137,0.2813,IV,5,4
9/28/21,Hm5-3,Hm,0.1058,1,ewa,3,20 C,0.2928,0.3986,IV,5,4
9/28/21,Hm5-4,Hm,0.0714,1,ewa,4,20 C,0.2987,0.3701,IV,5,4
9/28/21,Ul5-1,Ul,0.188,1,ewa,1,20 C,0.2885,0.4765,IV,5,4
9/28/21,Ul5-2,Ul,0.284,1,ewa,2,20 C,0.2737,0.5577,IV,5,4
9/28/21,Ul5-3,Ul,0.1942,1,ewa,3,20 C,0.2913,0.4855,IV,5,4
9/28/21,Ul5-4,Ul,0.2023,1,ewa,4,20 C,0.2884,0.4907,IV,5,4
9/28/21,Hm6-1,Hm,0.1454,1,ewa,1,20 C,0.2481,0.3935,IV,6,3
9/28/21,Hm6-2,Hm,0.0632,1,ewa,2,20 C,0.2721,0.3353,IV,6,3
9/28/21,Hm6-3,Hm,0.0807,1,ewa,3,20 C,0.2522,0.3329,IV,6,3
9/28/21,Hm6-4,Hm,0.0769,1,ewa,4,20 C,0.2504,0.3273,IV,6,3
9/28/21,Ul6-1,Ul,0.1203,1,ewa,1,20 C,0.2952,0.4155,IV,6,3
9/28/21,Ul6-2,Ul,0.1261,1,ewa,2,20 C,0.2809,0.407,IV,6,3
9/28/21,Ul6-3,Ul,0.1615,1,ewa,3,20 C,0.3068,0.4683,IV,6,3
9/28/21,Ul6-4,Ul,0.2723,1,ewa,4,20 C,0.3138,0.5861,IV,6,3
9/29/21,Hm1-1,Hm,0.0651,1,diamond,1,20 C,0.3016,0.3767,IV,7,6
9/29/21,Hm1-2,Hm,0.0228,1,diamond,2,20 C,0.3045,0.3692,IV,7,6
9/29/21,Hm1-3,Hm,0.073,1,diamond,3,20 C,0.2805,0.3223,IV,7,6
9/29/21,Hm1-4,Hm,0.0505,1,diamond,4,20 C,0.2885,0.361,IV,7,6
9/29/21,Ul1-1,Ul,0.0396,1,diamond,1,20 C,0.306,0.6745,IV,7,6
9/29/21,Ul1-2,Ul,0.0368,1,diamond,2,20 C,0.277,0.6132,IV,7,6
9/29/21,Ul1-3,Ul,0.0322,1,diamond,3,20 C,0.2951,0.8293,IV,7,6
9/29/21,Ul1-4,Ul,0.0357,1,diamond,4,20 C,0.2943,0.5555,IV,7,6
9/29/21,Hm2-1,Hm,0.0535,1,diamond,1,20 C,0.2621,0.339,IV,8,5
9/29/21,Hm2-2,Hm,0.0178,1,diamond,2,20 C,0.2155,0.0846,IV,8,5
9/29/21,Hm2-3,Hm,0.0206,1,diamond,3,20 C,0.2727,0.31,IV,8,5
9/29/21,Hm2-4,Hm,0.0399,1,diamond,4,20 C,0.2583,0.2335,IV,8,5
9/29/21,Ul2-1,Ul,0.0364,1,diamond,1,20 C,0.2895,0.5528,IV,8,5
9/29/21,Ul2-2,Ul,0.0349,1,diamond,2,20 C,0.2846,0.5605,IV,8,5
9/29/21,Ul2-3,Ul,0.0375,1,diamond,3,20 C,0.2944,0.5265,IV,8,5
9/29/21,Ul2-4,Ul,0.0325,1,diamond,4,20 C,0.2925,0.5983,IV,8,5
9/29/21,Hm3-1,Hm,0.0341,1,diamond,1,27 C,0.2834,0.4198,IV,9,2
9/29/21,Hm3-2,Hm,0.0318,1,diamond,2,27 C,0.2948,0.3718,IV,9,2
9/29/21,Hm3-3,Hm,0.0549,1,diamond,3,27 C,0.2676,0.3561,IV,9,2
9/29/21,Hm3-4,Hm,0.0379,1,diamond,4,27 C,0.2989,0.3948,IV,9,2
9/29/21,Ul3-1,Ul,0.0403,1,diamond,1,27 C,0.2614,0.3021,IV,9,2
9/29/21,Ul3-2,Ul,0.0378,1,diamond,2,27 C,0.2731,0.4731,IV,9,2
9/29/21,Ul3-3,Ul,0.0305,1,diamond,3,27 C,0.2954,0.5799,IV,9,2
9/29/21,Ul3-4,Ul,0.0366,1,diamond,4,27 C,0.3056,0.5308,IV,9,2
9/29/21,Hm4-1,Hm,0.047,1,diamond,1,27 C,0.2449,0.3727,IV,10,1
9/29/21,Hm4-2,Hm,0.0512,1,diamond,2,27 C,0.2767,0.3629,IV,10,1
9/29/21,Hm4-3,Hm,0.0304,1,diamond,3,27 C,0.2898,0.3752,IV,10,1
9/29/21,Hm4-4,Hm,0.0408,1,diamond,4,27 C,0.2922,0.3812,IV,10,1
9/29/21,Ul4-1,Ul,0.0545,1,diamond,1,27 C,0.3004,0.5448,IV,10,1
9/29/21,Ul4-2,Ul,0.0393,1,diamond,2,27 C,0.3011,0.5915,IV,10,1
9/29/21,Ul4-3,Ul,0.0434,1,diamond,3,27 C,0.2796,0.4937,IV,10,1
9/29/21,Ul4-4,Ul,0.0334,1,diamond,4,27 C,0.2978,0.4189,IV,10,1
9/29/21,Hm5-1,Hm,0.0224,1,diamond,1,30 C,0.279,0.4155,IV,11,4
9/29/21,Hm5-2,Hm,0.0353,1,diamond,2,30 C,0.2915,0.3803,IV,11,4
9/29/21,Hm5-3,Hm,0.0378,1,diamond,3,30 C,0.2895,0.4037,IV,11,4
9/29/21,Hm5-4,Hm,0.025,1,diamond,4,30 C,0.2659,0.3523,IV,11,4
9/29/21,Ul5-1,Ul,0.0559,1,diamond,1,30 C,0.2729,0.3249,IV,11,4
9/29/21,Ul5-2,Ul,0.0311,1,diamond,2,30 C,0.2444,0.4354,IV,11,4
9/29/21,Ul5-3,Ul,0.0455,1,diamond,3,30 C,0.274,0.5318,IV,11,4
9/29/21,Ul5-4,Ul,0.0409,1,diamond,4,30 C,0.2576,0.4836,IV,11,4
9/29/21,Hm6-1,Hm,0.0719,1,diamond,1,30 C,0.2485,0.3058,IV,12,3
9/29/21,Hm6-2,Hm,0.0335,1,diamond,2,30 C,0.2944,0.3653,IV,12,3
9/29/21,Hm6-3,Hm,0.0259,1,diamond,3,30 C,0.2503,0.352,IV,12,3
9/29/21,Hm6-4,Hm,0.0277,1,diamond,4,30 C,0.2962,0.3586,IV,12,3
9/29/21,Ul6-1,Ul,0.0423,1,diamond,1,30 C,0.3034,0.4222,IV,12,3
9/29/21,Ul6-2,Ul,0.0421,1,diamond,2,30 C,0.2861,0.3954,IV,12,3
9/29/21,Ul6-3,Ul,0.037,1,diamond,3,30 C,0.2854,0.5645,IV,12,3
9/29/21,Ul6-4,Ul,0.0395,1,diamond,4,30 C,0.2828,0.5189,IV,12,3
10/8/21,Hm1-1,Hm,0.2503,2,ewa,1,30 C,0.2973,0.5476,I,13,4
10/8/21,Hm1-2,Hm,0.1258,2,ewa,2,30 C,0.2981,0.4239,I,13,4
10/8/21,Hm1-3,Hm,0.1295,2,ewa,3,30 C,0.2814,0.4109,I,13,4
10/8/21,Hm1-4,Hm,0.0533,2,ewa,4,30 C,0.2844,0.3377,I,13,4
10/8/21,Ul1-1,Ul,0.2371,2,ewa,1,30 C,0.3059,0.543,I,13,4
10/8/21,Ul1-2,Ul,0.19,2,ewa,2,30 C,0.2841,0.4741,I,13,4
10/8/21,Ul1-3,Ul,0.2344,2,ewa,3,30 C,0.2896,0.524,I,13,4
10/8/21,Ul1-4,Ul,0.2548,2,ewa,4,30 C,0.2699,0.5247,I,13,4
10/8/21,Hm2-1,Hm,0.1908,2,ewa,1,30 C,0.2946,0.4854,I,14,5
10/8/21,Hm2-2,Hm,0.0948,2,ewa,2,30 C,0.2882,0.383,I,14,5
10/8/21,Hm2-3,Hm,0.1543,2,ewa,3,30 C,0.2851,0.4394,I,14,5
10/8/21,Hm2-4,Hm,-0.0169,2,ewa,4,30 C,0.2886,0.2717,I,14,5
10/8/21,Ul2-1,Ul,0.114,2,ewa,1,30 C,0.2935,0.4075,I,14,5
10/8/21,Ul2-2,Ul,0.1684,2,ewa,2,30 C,0.2414,0.4098,I,14,5
10/8/21,Ul2-3,Ul,0.2302,2,ewa,3,30 C,0.2907,0.5209,I,14,5
10/8/21,Ul2-4,Ul,0.1919,2,ewa,4,30 C,0.2934,0.4853,I,14,5
10/8/21,Hm3-1,Hm,0.1638,2,ewa,1,27 C,0.2907,0.4545,I,15,6
10/8/21,Hm3-2,Hm,0.0709,2,ewa,2,27 C,0.2712,0.3421,I,15,6
10/8/21,Hm3-3,Hm,0.0498,2,ewa,3,27 C,0.2962,0.346,I,15,6
10/8/21,Hm3-4,Hm,-0.0389,2,ewa,4,27 C,0.2886,0.2497,I,15,6
10/8/21,Ul3-1,Ul,0.1629,2,ewa,1,27 C,0.2751,0.438,I,15,6
10/8/21,Ul3-2,Ul,0.2595,2,ewa,2,27 C,0.2938,0.5533,I,15,6
10/8/21,Ul3-3,Ul,0.2244,2,ewa,3,27 C,0.2829,0.5073,I,15,6
10/8/21,Ul3-4,Ul,0.1918,2,ewa,4,27 C,0.2754,0.4672,I,15,6
10/8/21,Hm4-1,Hm,0.0547,2,ewa,1,27 C,0.2922,0.3469,I,16,1
10/8/21,Hm4-2,Hm,0.0813,2,ewa,2,27 C,0.2568,0.3381,I,16,1
10/8/21,Hm4-3,Hm,0.0482,2,ewa,3,27 C,0.2954,0.3436,I,16,1
10/8/21,Hm4-4,Hm,-0.0019,2,ewa,4,27 C,0.2772,0.2753,I,16,1
10/8/21,Ul4-1,Ul,-0.0097,2,ewa,1,27 C,0.2897,0.28,I,16,1
10/8/21,Ul4-2,Ul,0.2108,2,ewa,2,27 C,0.2999,0.5107,I,16,1
10/8/21,Ul4-3,Ul,0.1082,2,ewa,3,27 C,0.3022,0.4104,I,16,1
10/8/21,Ul4-4,Ul,0.1648,2,ewa,4,27 C,0.2943,0.4591,I,16,1
10/8/21,Hm5-1,Hm,0.2559,2,ewa,1,20 C,0.2979,0.5538,I,17,2
10/8/21,Hm5-2,Hm,-0.25488,2,ewa,2,20 C,0.2998,0.04492,I,17,2
10/8/21,Hm5-3,Hm,0.0928,2,ewa,3,20 C,0.2968,0.3896,I,17,2
10/8/21,Hm5-4,Hm,0.0496,2,ewa,4,20 C,0.2466,0.2962,I,17,2
10/8/21,Ul5-1,Ul,0.0059,2,ewa,1,20 C,0.2999,0.3058,I,17,2
10/8/21,Ul5-2,Ul,-0.0626,2,ewa,2,20 C,0.2643,0.2017,I,17,2
10/8/21,Ul5-3,Ul,0.0809,2,ewa,3,20 C,0.2406,0.3215,I,17,2
10/8/21,Ul5-4,Ul,0.0821,2,ewa,4,20 C,0.2754,0.3575,I,17,2
10/8/21,Hm6-1,Hm,0.2102,2,ewa,1,20 C,0.2919,0.5021,I,18,3
10/8/21,Hm6-2,Hm,0.0981,2,ewa,2,20 C,0.2866,0.3847,I,18,3
10/8/21,Hm6-3,Hm,0.1029,2,ewa,3,20 C,0.296,0.3989,I,18,3
10/8/21,Hm6-4,Hm,0.0959,2,ewa,4,20 C,0.2788,0.3747,I,18,3
10/8/21,Ul6-1,Ul,0.1212,2,ewa,1,20 C,0.2767,0.3979,I,18,3
10/8/21,Ul6-2,Ul,0.0681,2,ewa,2,20 C,0.2982,0.3663,I,18,3
10/8/21,Ul6-3,Ul,0.0965,2,ewa,3,20 C,0.2921,0.3886,I,18,3
10/8/21,Ul6-4,Ul,0.1872,2,ewa,4,20 C,0.2931,0.4803,I,18,3
10/9/21,Hm1-1,Hm,0.2197,2,diamond,1,20 C,0.2979,0.5176,I,19,4
10/9/21,Hm1-2,Hm,0.1285,2,diamond,2,20 C,0.3067,0.4352,I,19,4
10/9/21,Hm1-3,Hm,0.0919,2,diamond,3,20 C,0.2593,0.3512,I,19,4
10/9/21,Hm1-4,Hm,0.0745,2,diamond,4,20 C,0.2843,0.3588,I,19,4
10/9/21,Ul1-1,Ul,-0.0371,2,diamond,1,20 C,0.293,0.2559,I,19,4
10/9/21,Ul1-2,Ul,-0.042,2,diamond,2,20 C,0.2963,0.2543,I,19,4
10/9/21,Ul1-3,Ul,-0.0416,2,diamond,3,20 C,0.2969,0.2553,I,19,4
10/9/21,Ul1-4,Ul,0.2529,2,diamond,4,20 C,0.2967,0.5496,I,19,4
10/9/21,Hm2-1,Hm,0.1218,2,diamond,1,20 C,0.3031,0.4249,I,20,5
10/9/21,Hm2-2,Hm,0.0673,2,diamond,2,20 C,0.2967,0.364,I,20,5
10/9/21,Hm2-3,Hm,0.0667,2,diamond,3,20 C,0.2692,0.3359,I,20,5
10/9/21,Hm2-4,Hm,0.0616,2,diamond,4,20 C,0.2995,0.3611,I,20,5
10/9/21,Ul2-1,Ul,0.1808,2,diamond,1,20 C,0.2729,0.4537,I,20,5
10/9/21,Ul2-2,Ul,0.1175,2,diamond,2,20 C,0.2994,0.4169,I,20,5
10/9/21,Ul2-3,Ul,0.2001,2,diamond,3,20 C,0.2594,0.4595,I,20,5
10/9/21,Ul2-4,Ul,0.03,2,diamond,4,20 C,0.2735,0.3035,I,20,5
10/9/21,Hm3-1,Hm,0.1304,2,diamond,1,27 C,0.2774,0.4078,I,21,6
10/9/21,Hm3-2,Hm,0.0502,2,diamond,2,27 C,0.2617,0.3119,I,21,6
10/9/21,Hm3-3,Hm,0.0204,2,diamond,3,27 C,0.2933,0.3137,I,21,6
10/9/21,Hm3-4,Hm,0.073,2,diamond,4,27 C,0.2781,0.3511,I,21,6
10/9/21,Ul3-1,Ul,0.1048,2,diamond,1,27 C,0.2997,0.4045,I,21,6
10/9/21,Ul3-2,Ul,0.131,2,diamond,2,27 C,0.3038,0.4348,I,21,6
10/9/21,Ul3-3,Ul,0.1376,2,diamond,3,27 C,0.2899,0.4275,I,21,6
10/9/21,Ul3-4,Ul,0.1528,2,diamond,4,27 C,0.2975,0.4503,I,21,6
10/9/21,Hm4-1,Hm,0.125,2,diamond,1,27 C,0.2882,0.4132,I,22,1
10/9/21,Hm4-2,Hm,0.041,2,diamond,2,27 C,0.3028,0.3438,I,22,1
10/9/21,Hm4-3,Hm,0.0856,2,diamond,3,27 C,0.2909,0.3765,I,22,1
10/9/21,Hm4-4,Hm,0.0702,2,diamond,4,27 C,0.2949,0.3651,I,22,1
10/9/21,Ul4-1,Ul,0.1706,2,diamond,1,27 C,0.2845,0.4551,I,22,1
10/9/21,Ul4-2,Ul,0.196,2,diamond,2,27 C,0.3006,0.4966,I,22,1
10/9/21,Ul4-3,Ul,0.142,2,diamond,3,27 C,0.2756,0.4176,I,22,1
10/9/21,Ul4-4,Ul,0.1232,2,diamond,4,27 C,0.2994,0.4226,I,22,1
10/9/21,Hm5-1,Hm,0.0543,2,diamond,1,30 C,0.303,0.3573,I,23,2
10/9/21,Hm5-2,Hm,0.0581,2,diamond,2,30 C,0.2878,0.3459,I,23,2
10/9/21,Hm5-3,Hm,0.0042,2,diamond,3,30 C,0.3035,0.3077,I,23,2
10/9/21,Hm5-4,Hm,-0.1543,2,diamond,4,30 C,0.3027,0.1484,I,23,2
10/9/21,Ul5-1,Ul,0.1917,2,diamond,1,30 C,0.2821,0.4738,I,23,2
10/9/21,Ul5-2,Ul,0.2105,2,diamond,2,30 C,0.3061,0.5166,I,23,2
10/9/21,Ul5-3,Ul,0.2643,2,diamond,3,30 C,0.2999,0.5642,I,23,2
10/9/21,Ul5-4,Ul,0.1024,2,diamond,4,30 C,0.2939,0.3963,I,23,2
10/9/21,Hm6-1,Hm,0.049,2,diamond,1,30 C,0.2505,0.2995,I,24,3
10/9/21,Hm6-2,Hm,0.0247,2,diamond,2,30 C,0.2631,0.2878,I,24,3
10/9/21,Hm6-3,Hm,-0.1435,2,diamond,3,30 C,0.2916,0.1481,I,24,3
10/9/21,Hm6-4,Hm,-0.2559,2,diamond,4,30 C,0.2909,0.035,I,24,3
10/9/21,Ul6-1,Ul,0.1476,2,diamond,1,30 C,0.3051,0.4527,I,24,3
10/9/21,Ul6-2,Ul,0.1651,2,diamond,2,30 C,0.287,0.4521,I,24,3
10/9/21,Ul6-3,Ul,0.2207,2,diamond,3,30 C,0.3039,0.5246,I,24,3
10/9/21,Ul6-4,Ul,0.1584,2,diamond,4,30 C,0.3053,0.4637,I,24,3
10/19/21,Hm1-1,Hm,0.0746,3,ewa,1,20 C,0.2948,0.3694,III,25,4
10/19/21,Hm1-2,Hm,0.0869,3,ewa,2,20 C,0.299,0.3859,III,25,4
10/19/21,Hm1-3,Hm,0.0636,3,ewa,3,20 C,0.3037,0.3673,III,25,4
10/19/21,Hm1-4,Hm,0.0746,3,ewa,4,20 C,0.3036,0.3782,III,25,4
10/19/21,Ul1-1,Ul,-0.0236,3,ewa,1,20 C,0.2803,0.2567,III,25,4
10/19/21,Ul1-2,Ul,0.0171,3,ewa,2,20 C,0.286,0.3031,III,25,4
10/19/21,Ul1-3,Ul,0.036,3,ewa,3,20 C,0.2817,0.3177,III,25,4
10/19/21,Ul1-4,Ul,0.0474,3,ewa,4,20 C,0.2773,0.3247,III,25,4
10/19/21,Hm2-1,Hm,0.0374,3,ewa,1,20 C,0.2957,0.3331,III,26,5
10/19/21,Hm2-2,Hm,0.0613,3,ewa,2,20 C,0.2859,0.3472,III,26,5
10/19/21,Hm2-3,Hm,0.0481,3,ewa,3,20 C,0.2921,0.3402,III,26,5
10/19/21,Hm2-4,Hm,0.0177,3,ewa,4,20 C,0.2794,0.2971,III,26,5
10/19/21,Ul2-1,Ul,0.1614,3,ewa,1,20 C,0.2871,0.4485,III,26,5
10/19/21,Ul2-2,Ul,0.0975,3,ewa,2,20 C,0.2596,0.3571,III,26,5
10/19/21,Ul2-3,Ul,0.0954,3,ewa,3,20 C,0.2655,0.3609,III,26,5
10/19/21,Ul2-4,Ul,0.1672,3,ewa,4,20 C,0.2563,0.4235,III,26,5
10/19/21,Hm3-1,Hm,0.1144,3,ewa,1,27 C,0.3039,0.4183,III,27,6
10/19/21,Hm3-2,Hm,0.0731,3,ewa,2,27 C,0.3077,0.3808,III,27,6
10/19/21,Hm3-3,Hm,0.0804,3,ewa,3,27 C,0.2803,0.3607,III,27,6
10/19/21,Hm3-4,Hm,0.0808,3,ewa,4,27 C,0.3055,0.3863,III,27,6
10/19/21,Ul3-1,Ul,0.0508,3,ewa,1,27 C,0.2898,0.3406,III,27,6
10/19/21,Ul3-2,Ul,0.0298,3,ewa,2,27 C,0.2669,0.2967,III,27,6
10/19/21,Ul3-3,Ul,0.1532,3,ewa,3,27 C,0.2808,0.434,III,27,6
10/19/21,Ul3-4,Ul,0.1536,3,ewa,4,27 C,0.2916,0.4452,III,27,6
10/19/21,Hm4-1,Hm,0.0888,3,ewa,1,27 C,0.3043,0.3931,III,28,1
10/19/21,Hm4-2,Hm,0.0781,3,ewa,2,27 C,0.2892,0.3673,III,28,1
10/19/21,Hm4-3,Hm,0.1173,3,ewa,3,27 C,0.2722,0.3895,III,28,1
10/19/21,Hm4-4,Hm,0.0425,3,ewa,4,27 C,0.2757,0.3182,III,28,1
10/19/21,Ul4-1,Ul,0.1087,3,ewa,1,27 C,0.2979,0.4066,III,28,1
10/19/21,Ul4-2,Ul,0.1702,3,ewa,2,27 C,0.3035,0.4737,III,28,1
10/19/21,Ul4-3,Ul,0.0207,3,ewa,3,27 C,0.3085,0.3292,III,28,1
10/19/21,Ul4-4,Ul,0.1831,3,ewa,4,27 C,0.2989,0.482,III,28,1
10/19/21,Hm5-1,Hm,0.1487,3,ewa,1,30 C,0.2858,0.4345,III,29,2
10/19/21,Hm5-2,Hm,0.1155,3,ewa,2,30 C,0.3073,0.4228,III,29,2
10/19/21,Hm5-3,Hm,0.1235,3,ewa,3,30 C,0.3,0.4235,III,29,2
10/19/21,Hm5-4,Hm,0.11,3,ewa,4,30 C,0.2791,0.3891,III,29,2
10/19/21,Ul5-1,Ul,0.0418,3,ewa,1,30 C,0.2733,0.3151,III,29,2
10/19/21,Ul5-2,Ul,0.0971,3,ewa,2,30 C,0.2839,0.381,III,29,2
10/19/21,Ul5-3,Ul,0.0934,3,ewa,3,30 C,0.2673,0.3607,III,29,2
10/19/21,Ul5-4,Ul,0.1558,3,ewa,4,30 C,0.2923,0.4481,III,29,2
10/19/21,Hm6-1,Hm,0.046,3,ewa,1,30 C,0.2642,0.3102,III,30,3
10/19/21,Hm6-2,Hm,0.0595,3,ewa,2,30 C,0.2492,0.3087,III,30,3
10/19/21,Hm6-3,Hm,-0.063,3,ewa,3,30 C,0.2842,0.2212,III,30,3
10/19/21,Hm6-4,Hm,-0.0192,3,ewa,4,30 C,0.2607,0.2415,III,30,3
10/19/21,Ul6-1,Ul,0.0962,3,ewa,1,30 C,0.2546,0.3508,III,30,3
10/19/21,Ul6-2,Ul,0.117,3,ewa,2,30 C,0.2258,0.3428,III,30,3
10/19/21,Ul6-3,Ul,0.1445,3,ewa,3,30 C,0.2329,0.3774,III,30,3
10/19/21,Ul6-4,Ul,0.1535,3,ewa,4,30 C,0.2603,0.4138,III,30,3
